:0;:1;:2;u_x;u_y;u_z
10;0;0;0.00E+00;0.00E+00;0.00E+00
9.95;0;0;0.00E+00;0.00E+00;1.00E-09
9.95;0.05;0;0.00E+00;0.00E+00;0.00E+00
10;0.05;0;0.00E+00;0.00E+00;0.00E+00
9.9;0;0;0.00E+00;0.00E+00;0.00E+00
9.9;0.05;0;0.00E+00;0.00E+00;2.05E-09
9.9;0.1;0;0.00E+00;0.00E+00;-1.14E-11
9.95;0.1;0;0.00E+00;0.00E+00;1.01E-09
10;0.1;0;0.00E+00;0.00E+00;0.00E+00
9.85;0;0;0.00E+00;0.00E+00;3.16E-09
9.85;0.05;0;0.00E+00;0.00E+00;1.12E-10
9.85;0.1;0;0.00E+00;0.00E+00;3.18E-09
9.85;0.15;0;0.00E+00;0.00E+00;0.00E+00
9.9;0.15;0;0.00E+00;0.00E+00;2.08E-09
9.95;0.15;0;0.00E+00;0.00E+00;-3.58E-11
10;0.15;0;0.00E+00;0.00E+00;0.00E+00
9.8;0;0;0.00E+00;0.00E+00;2.36E-10
9.8;0.05;0;0.00E+00;0.00E+00;4.28E-09
9.8;0.1;0;0.00E+00;0.00E+00;1.96E-10
9.8;0.15;0;0.00E+00;0.00E+00;4.30E-09
9.8;0.2;0;0.00E+00;0.00E+00;1.73E-10
9.85;0.2;0;0.00E+00;0.00E+00;3.20E-09
9.9;0.2;0;0.00E+00;0.00E+00;-1.69E-12
9.95;0.2;0;0.00E+00;0.00E+00;1.00E-09
10;0.2;0;0.00E+00;0.00E+00;0.00E+00
9.75;0;0;0.00E+00;0.00E+00;5.36E-09
9.75;0.05;0;0.00E+00;0.00E+00;3.52E-10
9.75;0.1;0;0.00E+00;0.00E+00;5.38E-09
9.75;0.15;0;0.00E+00;0.00E+00;2.22E-10
9.75;0.2;0;0.00E+00;0.00E+00;5.40E-09
9.75;0.25;0;0.00E+00;0.00E+00;2.62E-10
9.8;0.25;0;0.00E+00;0.00E+00;4.33E-09
9.85;0.25;0;0.00E+00;0.00E+00;1.17E-10
9.9;0.25;0;0.00E+00;0.00E+00;2.09E-09
9.95;0.25;0;0.00E+00;0.00E+00;-4.28E-11
10;0.25;0;0.00E+00;0.00E+00;0.00E+00
9.7;0;0;0.00E+00;0.00E+00;4.72E-10
9.7;0.05;0;0.00E+00;0.00E+00;6.41E-09
9.7;0.1;0;0.00E+00;0.00E+00;3.97E-10
9.7;0.15;0;0.00E+00;0.00E+00;6.42E-09
9.7;0.2;0;0.00E+00;0.00E+00;0.00E+00
9.7;0.25;0;0.00E+00;0.00E+00;6.48E-09
9.7;0.3;0;0.00E+00;0.00E+00;5.61E-10
9.75;0.3;0;0.00E+00;0.00E+00;5.45E-09
9.8;0.3;0;0.00E+00;0.00E+00;2.35E-10
9.85;0.3;0;0.00E+00;0.00E+00;3.22E-09
9.9;0.3;0;0.00E+00;0.00E+00;-3.63E-12
9.95;0.3;0;0.00E+00;0.00E+00;1.00E-09
10;0.3;0;0.00E+00;0.00E+00;0.00E+00
9.65;0;0;0.00E+00;0.00E+00;7.40E-09
9.65;0.05;0;0.00E+00;0.00E+00;5.10E-10
9.65;0.1;0;0.00E+00;0.00E+00;7.39E-09
9.65;0.15;0;0.00E+00;0.00E+00;3.67E-10
9.65;0.2;0;0.00E+00;0.00E+00;7.44E-09
9.65;0.25;0;0.00E+00;0.00E+00;5.38E-10
9.65;0.3;0;0.00E+00;0.00E+00;7.55E-09
9.65;0.35;0;0.00E+00;0.00E+00;8.06E-10
9.7;0.35;0;0.00E+00;0.00E+00;6.57E-09
9.75;0.35;0;0.00E+00;0.00E+00;4.73E-10
9.8;0.35;0;0.00E+00;0.00E+00;4.36E-09
9.85;0.35;0;0.00E+00;0.00E+00;0.00E+00
9.9;0.35;0;0.00E+00;0.00E+00;2.09E-09
9.95;0.35;0;0.00E+00;0.00E+00;-3.78E-11
10;0.35;0;0.00E+00;0.00E+00;0.00E+00
9.6;0;0;0.00E+00;0.00E+00;6.06E-10
9.6;0.05;0;0.00E+00;0.00E+00;8.29E-09
9.6;0.1;0;0.00E+00;0.00E+00;4.11E-10
9.6;0.15;0;0.00E+00;0.00E+00;8.33E-09
9.6;0.2;0;0.00E+00;0.00E+00;5.07E-10
9.6;0.25;0;0.00E+00;0.00E+00;8.44E-09
9.6;0.3;0;0.00E+00;0.00E+00;9.04E-10
9.6;0.35;0;0.00E+00;0.00E+00;8.51E-09
9.6;0.4;0;0.00E+00;0.00E+00;8.80E-10
9.65;0.4;0;0.00E+00;0.00E+00;7.60E-09
9.7;0.4;0;0.00E+00;0.00E+00;6.43E-10
9.75;0.4;0;0.00E+00;0.00E+00;5.51E-09
9.8;0.4;0;0.00E+00;0.00E+00;3.18E-10
9.85;0.4;0;0.00E+00;0.00E+00;3.23E-09
9.9;0.4;0;0.00E+00;0.00E+00;1.93E-11
9.95;0.4;0;0.00E+00;0.00E+00;1.01E-09
10;0.4;0;0.00E+00;0.00E+00;0.00E+00
9.55;0;0;0.00E+00;0.00E+00;9.10E-09
9.55;0.05;0;0.00E+00;0.00E+00;6.14E-10
9.55;0.1;0;0.00E+00;0.00E+00;9.15E-09
9.55;0.15;0;0.00E+00;0.00E+00;0.00E+00
9.55;0.2;0;0.00E+00;0.00E+00;9.25E-09
9.55;0.25;0;0.00E+00;0.00E+00;9.48E-10
9.55;0.3;0;0.00E+00;0.00E+00;9.35E-09
9.55;0.35;0;0.00E+00;0.00E+00;1.10E-09
9.55;0.4;0;0.00E+00;0.00E+00;9.36E-09
9.55;0.45;0;0.00E+00;0.00E+00;8.14E-10
9.6;0.45;0;0.00E+00;0.00E+00;8.51E-09
9.65;0.45;0;0.00E+00;0.00E+00;5.82E-10
9.7;0.45;0;0.00E+00;0.00E+00;6.60E-09
9.75;0.45;0;0.00E+00;0.00E+00;5.32E-10
9.8;0.45;0;0.00E+00;0.00E+00;4.40E-09
9.85;0.45;0;0.00E+00;0.00E+00;1.89E-10
9.9;0.45;0;0.00E+00;0.00E+00;2.10E-09
9.95;0.45;0;0.00E+00;0.00E+00;-5.19E-12
10;0.45;0;0.00E+00;0.00E+00;0.00E+00
9.5;0;0;0.00E+00;0.00E+00;6.26E-10
9.5;0.05;0;0.00E+00;0.00E+00;9.89E-09
9.5;0.1;0;0.00E+00;0.00E+00;6.44E-10
9.5;0.15;0;0.00E+00;0.00E+00;9.99E-09
9.5;0.2;0;0.00E+00;0.00E+00;9.01E-10
9.5;0.25;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.3;0;0.00E+00;0.00E+00;1.25E-09
9.5;0.35;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.4;0;0.00E+00;0.00E+00;1.16E-09
9.5;0.45;0;0.00E+00;0.00E+00;1.01E-08
9.5;0.5;0;0.00E+00;0.00E+00;1.01E-09
9.55;0.5;0;0.00E+00;0.00E+00;9.35E-09
9.6;0.5;0;0.00E+00;0.00E+00;0.00E+00
9.65;0.5;0;0.00E+00;0.00E+00;7.60E-09
9.7;0.5;0;0.00E+00;0.00E+00;6.31E-10
9.75;0.5;0;0.00E+00;0.00E+00;5.55E-09
9.8;0.5;0;0.00E+00;0.00E+00;4.02E-10
9.85;0.5;0;0.00E+00;0.00E+00;3.25E-09
9.9;0.5;0;0.00E+00;0.00E+00;7.70E-11
9.95;0.5;0;0.00E+00;0.00E+00;1.01E-09
10;0.5;0;0.00E+00;0.00E+00;0.00E+00
9.45;0;0;0.00E+00;0.00E+00;1.05E-08
9.45;0.05;0;0.00E+00;0.00E+00;6.65E-10
9.45;0.1;0;0.00E+00;0.00E+00;1.07E-08
9.45;0.15;0;0.00E+00;0.00E+00;1.10E-09
9.45;0.2;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.25;0;0.00E+00;0.00E+00;1.33E-09
9.45;0.3;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.35;0;0.00E+00;0.00E+00;1.35E-09
9.45;0.4;0;0.00E+00;0.00E+00;1.08E-08
9.45;0.45;0;0.00E+00;0.00E+00;1.13E-09
9.45;0.5;0;0.00E+00;0.00E+00;1.07E-08
9.45;0.55;0;0.00E+00;0.00E+00;1.06E-09
9.5;0.55;0;0.00E+00;0.00E+00;1.01E-08
9.55;0.55;0;0.00E+00;0.00E+00;8.50E-10
9.6;0.55;0;0.00E+00;0.00E+00;8.53E-09
9.65;0.55;0;0.00E+00;0.00E+00;6.51E-10
9.7;0.55;0;0.00E+00;0.00E+00;6.65E-09
9.75;0.55;0;0.00E+00;0.00E+00;5.91E-10
9.8;0.55;0;0.00E+00;0.00E+00;4.43E-09
9.85;0.55;0;0.00E+00;0.00E+00;2.31E-10
9.9;0.55;0;0.00E+00;0.00E+00;2.10E-09
9.95;0.55;0;0.00E+00;0.00E+00;-1.68E-11
10;0.55;0;0.00E+00;0.00E+00;0.00E+00
9.4;0;0;0.00E+00;0.00E+00;0.00E+00
9.4;0.05;0;0.00E+00;0.00E+00;1.12E-08
9.4;0.1;0;0.00E+00;0.00E+00;1.16E-09
9.4;0.15;0;0.00E+00;0.00E+00;1.14E-08
9.4;0.2;0;0.00E+00;0.00E+00;1.44E-09
9.4;0.25;0;0.00E+00;0.00E+00;1.14E-08
