Points:0;Points:1;Points:2;u_x;u_y;u_z
0;0;0;0.00E+00;0.00E+00;0.00E+00
0.05;0;0;0.00E+00;0.00E+00;1.22E-08
0.05;0.05;0;0.00E+00;0.00E+00;0.00E+00
0;0.05;0;0.00E+00;0.00E+00;0.00E+00
0.1;0;0;0.00E+00;0.00E+00;0.00E+00
0.1;0.05;0;0.00E+00;0.00E+00;2.56E-08
0.1;0.1;0;0.00E+00;0.00E+00;-1.38E-09
0.05;0.1;0;0.00E+00;0.00E+00;1.22E-08
0;0.1;0;0.00E+00;0.00E+00;0.00E+00
0.15;0;0;0.00E+00;0.00E+00;4.03E-08
0.15;0.05;0;0.00E+00;0.00E+00;-1.33E-09
0.15;0.1;0;0.00E+00;0.00E+00;4.01E-08
0.15;0.15;0;0.00E+00;0.00E+00;0.00E+00
0.1;0.15;0;0.00E+00;0.00E+00;2.57E-08
0.05;0.15;0;0.00E+00;0.00E+00;-1.47E-09
0;0.15;0;0.00E+00;0.00E+00;0.00E+00
0.2;0;0;0.00E+00;0.00E+00;-2.47E-09
0.2;0.05;0;0.00E+00;0.00E+00;5.46E-08
0.2;0.1;0;0.00E+00;0.00E+00;-1.60E-09
0.2;0.15;0;0.00E+00;0.00E+00;5.51E-08
0.2;0.2;0;0.00E+00;0.00E+00;-1.18E-09
0.15;0.2;0;0.00E+00;0.00E+00;4.06E-08
0.1;0.2;0;0.00E+00;0.00E+00;-1.45E-09
0.05;0.2;0;0.00E+00;0.00E+00;1.21E-08
0;0.2;0;0.00E+00;0.00E+00;0.00E+00
0.25;0;0;0.00E+00;0.00E+00;6.90E-08
0.25;0.05;0;0.00E+00;0.00E+00;-2.70E-09
0.25;0.1;0;0.00E+00;0.00E+00;7.00E-08
0.25;0.15;0;0.00E+00;0.00E+00;-1.44E-09
0.25;0.2;0;0.00E+00;0.00E+00;7.05E-08
0.25;0.25;0;0.00E+00;0.00E+00;-1.41E-09
0.2;0.25;0;0.00E+00;0.00E+00;5.56E-08
0.15;0.25;0;0.00E+00;0.00E+00;-1.08E-09
0.1;0.25;0;0.00E+00;0.00E+00;2.60E-08
0.05;0.25;0;0.00E+00;0.00E+00;-1.63E-09
0;0.25;0;0.00E+00;0.00E+00;0.00E+00
0.3;0;0;0.00E+00;0.00E+00;-3.02E-09
0.3;0.05;0;0.00E+00;0.00E+00;8.58E-08
0.3;0.1;0;0.00E+00;0.00E+00;-2.10E-09
0.3;0.15;0;0.00E+00;0.00E+00;8.61E-08
0.3;0.2;0;0.00E+00;0.00E+00;0.00E+00
0.3;0.25;0;0.00E+00;0.00E+00;8.70E-08
0.3;0.3;0;0.00E+00;0.00E+00;-8.01E-10
0.25;0.3;0;0.00E+00;0.00E+00;7.12E-08
0.2;0.3;0;0.00E+00;0.00E+00;-1.07E-09
0.15;0.3;0;0.00E+00;0.00E+00;4.08E-08
0.1;0.3;0;0.00E+00;0.00E+00;-1.58E-09
0.05;0.3;0;0.00E+00;0.00E+00;1.20E-08
0;0.3;0;0.00E+00;0.00E+00;0.00E+00
0.35;0;0;0.00E+00;0.00E+00;1.02E-07
0.35;0.05;0;0.00E+00;0.00E+00;-2.38E-09
0.35;0.1;0;0.00E+00;0.00E+00;1.02E-07
0.35;0.15;0;0.00E+00;0.00E+00;-1.18E-09
0.35;0.2;0;0.00E+00;0.00E+00;1.03E-07
0.35;0.25;0;0.00E+00;0.00E+00;-6.48E-10
0.35;0.3;0;0.00E+00;0.00E+00;1.04E-07
0.35;0.35;0;0.00E+00;0.00E+00;-2.08E-10
0.3;0.35;0;0.00E+00;0.00E+00;8.80E-08
0.25;0.35;0;0.00E+00;0.00E+00;-1.13E-09
0.2;0.35;0;0.00E+00;0.00E+00;5.58E-08
0.15;0.35;0;0.00E+00;0.00E+00;0.00E+00
0.1;0.35;0;0.00E+00;0.00E+00;2.57E-08
0.05;0.35;0;0.00E+00;0.00E+00;-1.87E-09
0;0.35;0;0.00E+00;0.00E+00;0.00E+00
0.4;0;0;0.00E+00;0.00E+00;-2.22E-09
0.4;0.05;0;0.00E+00;0.00E+00;1.18E-07
0.4;0.1;0;0.00E+00;0.00E+00;-1.52E-09
0.4;0.15;0;0.00E+00;0.00E+00;1.18E-07
0.4;0.2;0;0.00E+00;0.00E+00;-8.94E-10
0.4;0.25;0;0.00E+00;0.00E+00;1.19E-07
0.4;0.3;0;0.00E+00;0.00E+00;-1.31E-09
0.4;0.35;0;0.00E+00;0.00E+00;1.19E-07
0.4;0.4;0;0.00E+00;0.00E+00;-1.15E-09
0.35;0.4;0;0.00E+00;0.00E+00;1.04E-07
0.3;0.4;0;0.00E+00;0.00E+00;-5.77E-10
0.25;0.4;0;0.00E+00;0.00E+00;7.19E-08
0.2;0.4;0;0.00E+00;0.00E+00;-1.83E-09
0.15;0.4;0;0.00E+00;0.00E+00;4.01E-08
0.1;0.4;0;0.00E+00;0.00E+00;-2.44E-09
0.05;0.4;0;0.00E+00;0.00E+00;1.21E-08
0;0.4;0;0.00E+00;0.00E+00;0.00E+00
0.45;0;0;0.00E+00;0.00E+00;1.35E-07
0.45;0.05;0;0.00E+00;0.00E+00;-2.15E-09
0.45;0.1;0;0.00E+00;0.00E+00;1.34E-07
0.45;0.15;0;0.00E+00;0.00E+00;0.00E+00
0.45;0.2;0;0.00E+00;0.00E+00;1.35E-07
0.45;0.25;0;0.00E+00;0.00E+00;-2.28E-09
0.45;0.3;0;0.00E+00;0.00E+00;1.34E-07
0.45;0.35;0;0.00E+00;0.00E+00;-2.97E-09
0.45;0.4;0;0.00E+00;0.00E+00;1.34E-07
0.45;0.45;0;0.00E+00;0.00E+00;-2.19E-09
0.4;0.45;0;0.00E+00;0.00E+00;1.19E-07
0.35;0.45;0;0.00E+00;0.00E+00;-3.84E-10
0.3;0.45;0;0.00E+00;0.00E+00;8.83E-08
0.25;0.45;0;0.00E+00;0.00E+00;-1.57E-09
0.2;0.45;0;0.00E+00;0.00E+00;5.57E-08
0.15;0.45;0;0.00E+00;0.00E+00;-3.50E-09
0.1;0.45;0;0.00E+00;0.00E+00;2.54E-08
0.05;0.45;0;0.00E+00;0.00E+00;-1.98E-09
0;0.45;0;0.00E+00;0.00E+00;0.00E+00
0.5;0;0;0.00E+00;0.00E+00;-1.29E-09
0.5;0.05;0;0.00E+00;0.00E+00;1.51E-07
0.5;0.1;0;0.00E+00;0.00E+00;-2.64E-09
0.5;0.15;0;0.00E+00;0.00E+00;1.50E-07
0.5;0.2;0;0.00E+00;0.00E+00;-3.62E-09
0.5;0.25;0;0.00E+00;0.00E+00;1.50E-07
0.5;0.3;0;0.00E+00;0.00E+00;-4.29E-09
0.5;0.35;0;0.00E+00;0.00E+00;1.49E-07
0.5;0.4;0;0.00E+00;0.00E+00;-4.22E-09
0.5;0.45;0;0.00E+00;0.00E+00;1.49E-07
0.5;0.5;0;0.00E+00;0.00E+00;-4.43E-09
0.45;0.5;0;0.00E+00;0.00E+00;1.34E-07
0.4;0.5;0;0.00E+00;0.00E+00;0.00E+00
0.35;0.5;0;0.00E+00;0.00E+00;1.04E-07
0.3;0.5;0;0.00E+00;0.00E+00;-9.96E-10
0.25;0.5;0;0.00E+00;0.00E+00;7.22E-08
0.2;0.5;0;0.00E+00;0.00E+00;-2.80E-09
0.15;0.5;0;0.00E+00;0.00E+00;4.00E-08
0.1;0.5;0;0.00E+00;0.00E+00;-3.58E-09
0.05;0.5;0;0.00E+00;0.00E+00;1.20E-08
0;0.5;0;0.00E+00;0.00E+00;0.00E+00
0.55;0;0;0.00E+00;0.00E+00;1.69E-07
0.55;0.05;0;0.00E+00;0.00E+00;-2.81E-09
0.55;0.1;0;0.00E+00;0.00E+00;1.66E-07
0.55;0.15;0;0.00E+00;0.00E+00;-5.88E-09
0.55;0.2;0;0.00E+00;0.00E+00;1.65E-07
0.55;0.25;0;0.00E+00;0.00E+00;-7.13E-09
0.55;0.3;0;0.00E+00;0.00E+00;1.64E-07
0.55;0.35;0;0.00E+00;0.00E+00;-6.98E-09
0.55;0.4;0;0.00E+00;0.00E+00;1.63E-07
0.55;0.45;0;0.00E+00;0.00E+00;-5.49E-09
0.55;0.5;0;0.00E+00;0.00E+00;1.63E-07
0.55;0.55;0;0.00E+00;0.00E+00;-7.44E-09
0.5;0.55;0;0.00E+00;0.00E+00;1.48E-07
0.45;0.55;0;0.00E+00;0.00E+00;-3.98E-09
0.4;0.55;0;0.00E+00;0.00E+00;1.18E-07
0.35;0.55;0;0.00E+00;0.00E+00;-1.29E-09
0.3;0.55;0;0.00E+00;0.00E+00;8.85E-08
0.25;0.55;0;0.00E+00;0.00E+00;-1.56E-09
0.2;0.55;0;0.00E+00;0.00E+00;5.61E-08
